Cod_Provincia;Provincia;Provincia original;Total población;Población hombres;Población mujeres
02;Albacete;02 Albacete;386464;193205;193259
03;Alicante/Alacant;03 Alicante/Alacant;1881762;932018;949744
04;Almería;04 Almería;731792;373136;358656
01;Araba/Álava;01 Araba/Álava;333626;164252;169374
33;Asturias;33 Asturias;1011792;482665;529127
05;Ávila;05 Ávila;158421;79562;78859
06;Badajoz;06 Badajoz;669943;331025;338918
07;Balears, Illes;07 Balears, Illes;1173008;584853;588155
08;Barcelona;08 Barcelona;5714730;2791250;2923480
48;Bizkaia;48 Bizkaia;1154334;557416;596918
09;Burgos;09 Burgos;356055;177920;178135
10;Cáceres;10 Cáceres;389558;192951;196607
11;Cádiz;11 Cádiz;1245960;614084;631876
39;Cantabria;39 Cantabria;584507;283378;301129
12;Castellón/Castelló;12 Castellón/Castelló;587064;291415;295649
13;Ciudad Real;13 Ciudad Real;492591;243763;248828
14;Córdoba;14 Córdoba;776789;380473;396316
15;Coruña, A;15 Coruña, A;1120134;537004;583130
16;Cuenca;16 Cuenca;195516;98118;97398
20;Gipuzkoa;20 Gipuzkoa;726033;354717;371316
17;Girona;17 Girona;786596;393769;392827
18;Granada;18 Granada;921338;453683;467655
19;Guadalajara;19 Guadalajara;265588;134624;130964
21;Huelva;21 Huelva;525835;260581;265254
22;Huesca;22 Huesca;224264;113607;110657
23;Jaén;23 Jaén;627190;310323;316867
24;León;24 León;451706;219532;232174
25;Lleida;25 Lleida;439727;224156;215571
27;Lugo;27 Lugo;326013;157892;168121
28;Madrid;28 Madrid;6751251;3229700;3521551
29;Málaga;29 Málaga;1695651;829976;865675
30;Murcia;30 Murcia;1518486;760362;758124
31;Navarra;31 Navarra;661537;327465;334072
32;Ourense;32 Ourense;305223;146495;158728
34;Palencia;34 Palencia;159123;78841;80282
35;Palmas, Las;35 Palmas, Las;1128539;561281;567258
36;Pontevedra;36 Pontevedra;944275;455910;488365
26;Rioja, La;26 Rioja, La;319796;157823;161973
37;Salamanca;37 Salamanca;327338;158874;168464
38;Santa Cruz de Tenerife;38 Santa Cruz de Tenerife;1044405;512899;531506
40;Segovia;40 Segovia;153663;77071;76592
41;Sevilla;41 Sevilla;1947852;951083;996769
42;Soria;42 Soria;88747;44920;43827
43;Tarragona;43 Tarragona;822309;410656;411653
44;Teruel;44 Teruel;134545;68287;66258
45;Toledo;45 Toledo;709403;356418;352985
46;Valencia/València;46 Valencia/València;2589312;1267961;1321351
47;Valladolid;47 Valladolid;519361;252843;266518
49;Zamora;49 Zamora;168725;83551;85174
50;Zaragoza;50 Zaragoza;967452;473354;494098
51;Ceuta;51 Ceuta;83517;42208;41309
52;Melilla;52 Melilla;86261;43603;42658
