Municipio;Localidad;Código postal;Dirección;Margen;Longitud;Latitud;Toma de datos;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasolina 95 E5 Premium;Precio gasolina 98 E5;Precio gasolina 98 E10;Precio gasóleo A;Precio gasóleo Premium;Precio gasóleo B;Precio gasóleo C;Precio bioetanol;% bioalcohol;Precio biodiésel;% éster metílico;Precio gases licuados del petróleo;Precio gas natural comprimido;Precio gas natural licuado;Precio hidrógeno;Precio gasolina 95 E25;Precio gasolina 95 E85;Precio AdBlue;Precio diesel renovable;Precio gasolina renovable	;Precio metanol	;Precio  amoniaco	;Precio BGNC	;Precio BGNL;Rótulo;Tipo venta;Rem.;Horario;Tipo servicio;Ultimo dato;Tipo_Vendedor;Provincia;Comunidad_Autonoma;Total población;Población hombres;Población mujeres;Competencia_1km;Competencia_2km;Competencia_5km;Competencia_10km;Competencia_25km;Competencia_50km;Competencia_100km;Distancia_Exolum_km
ABENGIBRE;ABENGIBRE;02250;AVENIDA CASTILLA LA MANCHA, 26;D;-1.539167;39.211417;02/12/2025 11:36;1.399;;;;;1.399;;0.949;;;;;;;;;;;;;;;;;;;Nº 10.935;P;dm;L-D: 07:00-22:00;L-D: 07:00-22:00 (A);2025-12-02;Independiente;Albacete;Castilla - La Mancha;386464.0;193205.0;193259.0;0;0;0;4;23;141;648;107.57035679965882
ALATOZ;ALATOZ;02152;CR CM-332, 46,4;I;-1.346083;39.100389;01/12/2025 23:59;1.599;;;;;1.559;1.609;;;;;;;;;;;;;;;;;;;;REPSOL;P;dm;L-D: 7:00-23:00;L-D: 7:00-23:00 (A);2025-12-01;Petrolera;Albacete;Castilla - La Mancha;386464.0;193205.0;193259.0;0;0;0;0;12;110;875;95.58393650908157
ALBACETE;ALBACETE;02001;CALLE FEDERICO GARCIA LORCA, 1;D;-1.849833;39.000861;01/12/2025 04:15;1.359;;;;;1.325;;;;;;;;;;;;;;;;;;;;;PLENERGY;P;dm;L-D: 24H;L-D: 24H (D);2025-12-01;Descuento;Albacete;Castilla - La Mancha;386464.0;193205.0;193259.0;3;9;36;41;57;125;381;139.1580123519696
ALBACETE;ALBACETE;02001;CALLE FEDERICO GARCIA LORCA, 5;I;-1.846361;38.997722;01/12/2025 14:20;;;;;;1.499;;;;;;;;;;;;;;;;;;;;;MOEVE;R;dm;L-S: 05:00-23:00;L-S: 05:00-23:00 (A);2025-12-01;Petrolera;Albacete;Castilla - La Mancha;386464.0;193205.0;193259.0;4;9;32;39;57;123;380;138.71645290109507
ALBACETE;ALBACETE;02001;AVENIDA 1º DE MAYO, S/N;N;-1.8685;38.985667;03/12/2025 10:38;1.489;;;1.619;;1.429;1.469;;;;;;;;;;;;;;;;;;;;CARREFOUR;P;dm;"L-S: 08:00-22:00; D: 09:00-21:00";"L-S: 08:00-22:00 (A); D: 09:00-21:00 (A)";2025-12-03;Supermercado;Albacete;Castilla - La Mancha;386464.0;193205.0;193259.0;1;11;31;40;56;119;384;139.61195798064165
ALBACETE;ALBACETE;02001;CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5;I;-1.832;39.054694;03/12/2025 00:00;1.509;;;1.659;;1.529;1.629;;;;;;;;;;;;;0.99;;;;;;;BP ROMICA;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (P);2025-12-03;Petrolera;Albacete;Castilla - La Mancha;386464.0;193205.0;193259.0;0;0;1;38;61;128;375;136.66387967895272
ALBACETE;ALBACETE;02005;AVENIDA MENÉNDEZ PIDAL, 58;N;-1.864917;39.003333;03/12/2025 12:32;1.509;;;1.639;;1.439;1.535;;;;;;;;;;;;;;;;;;;;TAMOS;P;dm;L: 05:00-01:00;L: 05:00-01:00 (A);2025-12-03;Independiente;Albacete;Castilla - La Mancha;386464.0;193205.0;193259.0;3;14;35;41;55;128;378;140.4021519801837
ALBACETE;ALBACETE;02005;AVENIDA ESCRITOR RODRIGO RUBIO, 3;D;-1.885361;39.006889;30/11/2025 09:46;1.347;;;;;1.297;1.399;;;;;;;0.818;;;;;;;;;;;;;A&A;P;dm;L-S: 09:00-21:30;Sin datos;2025-11-30;Independiente;Albacete;Castilla - La Mancha;386464.0;193205.0;193259.0;4;14;33;41;53;127;384;142.10327167628935
ALBACETE;ALBACETE;02005;CL PASEO DE LA CUBA, 15;D;-1.854556;38.999722;03/12/2025 00:00;1.529;;;1.639;;1.469;;;;;;;;0.959;;;;;;;1.559;;;;;;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A);2025-12-03;Petrolera;Albacete;Castilla - La Mancha;386464.0;193205.0;193259.0;4;13;36;41;57;122;382;139.4320079828573
ALBACETE;ALBACETE;02005;PASEO CUBA (LA), 36;N;-1.859917;39.005083;03/12/2025 14:00;1.509;;;1.659;;1.439;1.535;;;;;;;0.966;;;;;;;;;;;;;MOEVE;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (P);2025-12-03;Petrolera;Albacete;Castilla - La Mancha;386464.0;193205.0;193259.0;3;11;35;41;55;127;377;140.14459096400898
